symbol,chain,address
virtual,ethereum,0x44ff8620b8ca30902395a7bd3f2407e1a091bf73
virtual,solana,3iQL8BFS2vE7mww4ehAqQHAsbmRNCrPxizWAT2Zfyr9y
polygon,ethereum,0x455e53cbb86018ac2b8092fdcd39d8444affc3f6
polygon,polygon-pos,0x0000000000000000000000000000000000001010
worldcoin,ethereum,0x163f8c2467924be0ae7b5347228cabf260318753
worldcoin,optimistic-ethereum,0xdc6ff44d5d932cbd77b52e5612ba0529dc6226f1
render,ethereum,0x6de037ef9ad2725eb40118bb1702ebb27e4aeb24
render,polygon-pos,0x61299774020da444af134c82fa83e3810b309991
